title,price,rating
Acer Extensa 15 Lightweight Laptop Intel Core i5 11th Gen Processor - (8 GB/ 512 GB SSD/ Windows 11 Home/ 1.7kg/ Black/ Elevated Hinge Design) EX215-54 with 39.6 cm (15.6 inches) FHD Display  ,"42,990",3.9 out of 5 stars
Xiaomi Notebook Pro QHD+IPS AntiGlare Display Intel Core I5-11300H 11th Gen 14 Inch Thin & Light Laptop (16GB/512GB SSD/Iris Xe Graphics/Windows 11 Home/MS Office21/Backlit Keyboard/FP Sensor/1.4 Kg)  ,"56,999",
"HP 255 G8 Laptop with AMD Athlon Silver 3050U APU/ 8GB Ram/ 256GB SSD/DOS/AMD Radeon Vega 8 Mobile Graphics/39.6 cm HD (1366 x 768), SVA, Anti-Glare WLED/Black/1 Year Onsite Warranty  ","25,999",
"Honor MagicBook 14, AMD Ryzen 5 5500U 14-inch (35.56 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/Fingerprint Login/Metal Body/Backlit KB/1.38Kg), Gray, NobelM-WFQ9AHNE  ","44,990",
"Lenovo IdeaPad Slim 3 Intel Core i3-1115G4 11th Gen 15.6"" (39.62cm) FHD Laptop (8GB/256GB SSD/Win 11/Office 2021/2 Year Warranty/3 Month Game Pass/Platinum Grey/1.7Kg), 81X800LCIN  ","33,639",4.0 out of 5 stars
"Lenovo Ideapad 3 AMD Ryzen 5 5500U 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/Backlit Keyboard/2Yr Warranty/Arctic Grey/1.65Kg), 82KU017KIN  ","43,890",4.2 out of 5 stars
Crucial RAM 8GB DDR4 3200MHz CL22 (or 2933MHz or 2666MHz) Laptop Memory CT8G4SFRA32A  ,"1,691",4.1 out of 5 stars
Crucial RAM 8GB DDR4 3200MHz CL22 (or 2933MHz or 2666MHz) Laptop Memory CT8G4SFRA32A  ,"1,691",
Crucial RAM 8GB DDR4 2666 MHz CL19 Laptop Memory CT8G4SFRA266  ,"1,799",
Hynix Sk 8gb 2rx8 Pc3l-12800s 1600mhz Laptop RAM Memory Hmt41gs6bfr8a-pb  ,999,
Samsung original 8GB 1 x 8GB 204-pin SODIMM DDR3 PC3L-12800 1600MHz ram memory module for laptops  ,"1,800",
"Bennett Nylon Drax Laptop Bag Sleeve Case Cover Pouch for 14 inches Laptop Apple/Dell/Lenovo/ASUS/Hp/Samsung/Mi/MacBook/Ultrabook/Thinkpad/IdeaPad/Surfacepro, Laptops, Tablets (Black, Drax Sleeve)  ",299,4.1 out of 5 stars
"Bennett Nylon Drax Laptops, Tablets Laptop Bag Sleeve Case Cover Pouch for 14 inches Laptop Apple/Dell/Lenovo/ASUS/Hp/Samsung/Mi/MacBook/Ultrabook/Thinkpad/IdeaPad/Surfacepro Grey (Drax Sleeve)  ",464,4.1 out of 5 stars
"AmazonBasics Laptop Sleeve Case Cover Pouch for 14""/35.5 cm Laptop for Men and Women | Slim Profile Neoprene, Soft Puffy Fabric Lining, 360 Protection, Smooth and Premium Zipper (Grey)  ",409,
"HP 14s, 11th Gen Intel Core i3-1115G4, 8GB RAM/256GB SSD 14-inch(35.6 cm) Micro-Edge, Anti-Glare, FHD Laptop/Alexa Built-in/Win 11/Intel UHD Graphics/Dual Speakers/MSO 2021/1.41 Kg, 14s-dy2507TU  ","37,490",4.1 out of 5 stars
"Lenovo IdeaPad 3 11th Gen Intel Core i3 15.6"" FHD Thin & Light Laptop(8GB/512GB SSD/Windows 11/Office 2021/2Yr Warranty/3months Xbox Game Pass/Platinum Grey/1.7Kg), 81X800N2IN  ","36,158",4.1 out of 5 stars
"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram & 256 GB SSD, Windows 10 Pro, 1.71Kg)  ","17,999",
"HP 15s,11th Gen Intel Core i3-1115G4 8GB RAM/512GB SSD 15.6-inch(39.6 cm) Micro-Edge Anti-Glare FHD Laptop/Alexa Built-in/Win 11/Intel UHD Graphics/Dual Speakers/MS Office 2021/1.69 Kg, 15s-fq2673TU  ","41,490",4.1 out of 5 stars
"HP 15s, 11th Gen Intel Core i3 8GB RAM/1TB HDD+256 GB SSD 15.6-inches/39.6 cm FHD Laptop/Windows 11/Intel UHD Graphics/Dual Speakers/Alexa/MSO/Fast Charge/1.75 Kg, 15s-du3614TU  ","39,990",
"Lenovo IdeaPad D330 Intel Celeron N4020 10.1"" (25cm) HD IPS Detachable 2-in-1 Laptop (4GB/128GB eMMC/Windows 10/1 Yr Warranty/Mineral Grey/1.1Kg), 82H0001YIN  ","20,990",3.9 out of 5 stars
